ID Facetten;Descr Facetten;Descr Monster;ID Monster;;;;;;
1;Agentur, Werbung, Marketing & PR;Werbung/Marketing/PR/Messen/Ausstellungen und Events;29;;;;;;
2;Aus- & Weiterbildung;Erziehung/Aus- & Weiterbildung;38;;;;;;
3;Automobilindustrie & Zulieferer;Autohandel/Kfz-Werkstätten;75;;;;;;
;;Fahrzeugbau/Kfz-Zulieferer;7;;;;;;
4;Banken & Kreditwirtschaft;Bankdienstleistungen;23;;;;;;
5;Baugewerbe & -industrie;Bau/Baustoffhandel;78;;;;;;
;;Architektur/Design;30;;;;;;
;;Abfallwirtschaft;37;;;;;;
6;Beratung;Unternehmensberatung;31;;;;;;
7;Beratung, Wirtschaftsprüfung & Recht;Rechtsdienstleistungen/-beratung;34;;;;;;
8;Bildungsinstitutionen;Erziehung/Aus- & Weiterbildung;38;;;;;;
9;Biotechnik;Biotechnik/Pharmazie;8;;;;;;
10;Chemie- & Pharmaindustrie;Biotechnik/Pharmazie;8;;;;;;
;;Chemie/Rohölprodukte/Kunststoff;9;;;;;;
11;Dienstleistungen;Sicherheitsdienste/Überwachung;74;;;;;;
;;Technische & kaufmännische Dienstleistungen;76;;;;;;
;;Abfallwirtschaft;37;;;;;;
12;Druck-, Papier & Verpackungsindustrie;Druck/Papier/Verpackung;13;;;;;;
13;Einzelhandel;Einzelhandel;17;;;;;;
14;Energie-, Wasserversorgung & Entsorgung;Energie-/Wasserversorgung;3;;;;;;
15;Feinmechanik & Optik;Elektrotechnik & Zubehör/Optik;11;;;;;;
16;Finanzdienstleistungen;Finanzdienstleistungen;81;;;;;;
17;Forschung & Wissenschaft;;;;;;;;
18;Gesundheit & soziale Dienste;Gesundheitswesen;39;;;;;;
19;Großhandel;Gross-/Außenhandel;15;;;;;;
20;Handwerk;Haushaltsdienstleistungen;48;;;;;;
21;Hotel, Gastronomie & Catering;Hotel/Unterkunft;44;;;;;;
;;Restaurant/Gastronomie;45;;;;;;
22;Immobilien;Immobilien;26;;;;;;
;;Vermietung/Leasing;27;;;;;;
23;Ingenieurwesen;Ingenieurdienstleistungen;79;;;;;;
24;IT & Internet;Internet-Dienstleistungen/Portale/ Datenverarbeitung;20;;;;;;
;;IT-Dienstleistungen/EDV-Schulung;77;;;;;;
;;IT-Hardware - Programmierung/Design;32;;;;;;
;;IT-Software - Systeme/Design;33;;;;;;
25;Konsumgüter & Gebrauchsgüter;Konsumgüter/Kosmetik;10;;;;;;
;;Textil/Leder/Bekleidung;14;;;;;;
26;Kultur;Kunst/Kultur;42;;;;;;
;;Unterhaltung - Theater/Museen/Freizeitparks;80;;;;;;
;;Sport/Erholung;43;;;;;;
27;Land-, Forst-, Fischwirtschaft & Gartenbau;Land-/Forstwirtschaft/Fischerei;1;;;;;;
28;Logistik, Verkehrs- & Transportwesen;Transport/Lagerhaltung/Logistikdienstleistungen;19;;;;;;
29;Luft- & Raumfahrt;Luft-/Raumfahrt;6;;;;;;
30;Maschinen- & Anlagenbau;Anlagen-/Maschinenbau;4;;;;;;
;;Schifffahrt/Schiffbau/Schiffbauzulieferindustrie;83;;;;;;
31;Medien (Presse, Film, Funk, TV, Verlage);Rundfunk/Musik/Film/TV/Verlag;21;;;;;;
32;Medizintechnik;Medizintechnik;84;;;;;;
33;Metallindustrie;Bergbau/Metall/Bodenschätze;2;;;;;;
34;Nahrungs- & Genussmittel;Nahrungs-/Genußmittel;82;;;;;;
35;Öffentlicher Dienst & Behörden;Öffentlicher Dienst;50;;;;;;
36;Personaldienstleistung & -beratung;Personalberatung/Arbeitsvermittlung;46;;;;;;
37;Telekommunikation;Telekommunikation/Wireless/ Dienstleistungen;22;;;;;;
38;Tourismus;Reisen/Personenbeförderung/Tourismus;18;;;;;;
39;Verbände & Institutionen;Gemeinnützig;47;;;;;;
40;Versicherungen;Versicherungen;24;;;;;;
41;Weitere Branchen (Default-Mapping);Sonstige Branchen;85;;;;;;
;;Sonstige Produktion;12;;;;;;
;;Alle;0;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
