ID Facetten;Descr Facetten;Descr XING;ID XING;;;;
1;Agentur, Werbung, Marketing & PR;Graphikdesign;41;;;;
;;Marktforschung;62;;;;
;;Marketing & Werbung;63;;;;
2;Aus- & Weiterbildung;Hochschulen;1;;;;
;;E-Learning;30;;;;
;;Bibliotheken;56;;;;
;;Coaching;86;;;;
;;Bildungswesen;110;;;;
3;Automobilindustrie & Zulieferer;Automobilindustrie;9;;;;
4;Banken & Kreditwirtschaft;Rechnungswesen;2;;;;
;;Bankwesen;10;;;;
;;Investment Banking;53;;;;
;;Venture Capital & Private Equity;104;;;;
;;Internationaler Handel & Entwicklung;51;;;;
5;Baugewerbe & -industrie;Architektur & Bauwesen;7;;;;
;;Baustoffe;13;;;;
;;Bauingenieurwesen;17;;;;
;;Baugewerbe;23;;;;
;;Bergbau & Metalle;68;;;;
6;Beratung;Unternehmensberatung;60;;;;
;;Beratung/Consulting;111;;;;
7;Beratung, Wirtschaftsprüfung & Recht;Rechnungswesen;2;;;;
;;Rechtsberatung;54;;;;
;;Steuerberatung/Wirtschaftsprüfung;128;;;;
8;Bildungsinstitutionen;Bibliotheken;56;;;;
;;Coaching;86;;;;
;;Hochschulen;1;;;;
;;Forschung;93;;;;
9;Biotechnik;Biotechnologie;11;;;;
;;Nanotechnologie;72;;;;
10;Chemie- & Pharmaindustrie;Chemieindustrie;15;;;;
11;Dienstleistungen;Dienstleistungen;26;;;;
;;Kosmetik;27;;;;
;;Kinderbetreuung;28;;;;
;;Veranstaltungsdienstleistungen;33;;;;
;;Outsourcing/Offshoring;78;;;;
;;Fotografie;82;;;;
;;Übersetzung & Lokalisierung;103;;;;
;;Tiermedizin;105;;;;
;;Facility Management;114;;;;
;;Garten- & Landschaftsbau;115;;;;
;;Sicherheit & Ermittlungen;96;;;;
12;Druck-, Papier & Verpackungsindustrie;Papier- & Forstprodukte;80;;;;
13;Einzelhandel;Arzneimittel;81;;;;
;;Einzelhandel;95;;;;
14;Energie-, Wasserversorgung & Entsorgung;Öl & Energie;75;;;;
;;Erneuerbare Energiequellen & Umwelt;92;;;;
;;Energiewirtschaft;113;;;;
;;Recycling & Entsorgung;126;;;;
;;Umweltdienste;32;;;;
15;Feinmechanik & Optik;Elektrotechnik;112;;;;
